mx,my
3.441473986584575,-0.09553696428469305
3.1317321891563465,-1.3946319010354304
2.333347725794101,-1.9274786503014958
1.216609204863997,-1.8091861655899348
0.33842501166658145,-1.352651567575735
-0.18969037495771304,-0.8436938810629054
-0.46215027578830786,-0.3938208896978333
-0.5710304109248979,-0.018981511589598536
-0.5205581551041807,0.20794983299460648
-0.38612304715366635,0.3029046196244119
-0.23341992256242836,0.3038614318559638
-0.09557818856507919,0.24634852803790577
0.004956147537898364,0.1657204319156271
0.06734736894598692,0.08362594915984078
0.09134213258145667,0.01858016172312252
0.08889030896007014,-0.024929251544573313
0.0701071137738391,-0.046375926489096296
0.04526399929959018,-0.050473597674565135
0.02142770582202962,-0.043196647308620426
