Pxx,Pxv,Pvv
1.0,0.0,1.0
0.19767593053694021,-0.029801571966753038,0.39399805133422516
0.10939642407000072,0.0003694322694160188,0.14562283882504895
0.07577453905871032,-0.0058355969771522334,0.05434866530257827
0.05131758562389763,-0.013396857750578264,0.02676565993079113
0.03140551757396106,-0.014356316510919976,0.01879275470102137
0.016932399645851318,-0.010774735985045926,0.014636109125426894
0.00811075944165058,-0.006121583504392457,0.010401264711700463
0.003790666323554044,-0.0026360041408369657,0.006314520658717317
0.002139441585800946,-0.0008866743179328338,0.003263535790259657
0.001571475876751128,-0.0003677699039273948,0.0015274116173850639
0.001223361299211629,-0.00034899314100090195,0.0007773491018714008
0.000853127046979588,-0.0003724292581513587,0.0005189166544516765
0.0005054249706572572,-0.0003060438882165823,0.0004061364096006772
0.0002561089519978777,-0.0001896596162922103,0.000300603414692442
0.00011997716112770702,-8.87466352043505e-05,0.00019135170694207926
6.347921180446101e-05,-3.16718992860248e-05,0.00010318354410207476
4.419351339349266e-05,-1.1462697310795761e-05,4.913896458984836e-05
3.4691610534160585e-05,-9.01245431077368e-06,2.3973487016342784e-05
2.5145332372676247e-05,-9.934516664915725e-06,1.4903109856748155e-05
