Pxx,Pxv,Pvv
0.9444789585627392,-0.14238940258551883,0.4109717634480464
0.19451216540265076,0.0006568685521909203,0.14562380949880874
0.10873057624488755,-0.008373628265386977,0.054544125781751426
0.0645723802293271,-0.016857125720772453,0.02766898999225034
0.035917555220757985,-0.016418891675110566,0.019735613923606957
0.018162541275709664,-0.011557522333299009,0.015134226132557169
0.008382720354705143,-0.006326845594973649,0.010556185966216578
0.0038490278444678282,-0.0026765883541818216,0.006342742650657074
0.0021579084622105663,-0.0008943277659884019,0.0032667077001073217
0.0015814165083268546,-0.00037009629351674107,0.001527956058498306
0.0012293771891128057,-0.0003507093178277153,0.0007778386824570287
0.0008560483188770095,-0.000373704527912723,0.0005194733684520699
0.0005064488582545481,-0.00030666387052763456,0.00040651182001392446
0.0002563715882330152,-0.0001898541096404203,0.0003007474453227856
0.00012003476684996016,-8.878924593101239e-05,0.0001913832259293541
6.349533433956955e-05,-3.167994335736214e-05,0.00010318755755797636
4.420132704124709e-05,-1.1464723976526199e-05,4.9139490256491136e-05
3.469642523364512e-05,-9.013705110562342e-06,2.39738119587647e-05
2.514786177804773e-05,-9.93551599232341e-06,1.4903504674944956e-05
